id,jmbg,ime,prezime,pol,godine,opstina,datum_rodjenja,adresa,telefon,email,prihod,jmbg_format,pib,institucija,postanski_broj,status,napomena
1,17071967866690,Зоран,Марковић,мушки,56,Горњи Милановац,26.4.2006.,Милана Топлице 108,069/1636950,зоран_марковић44@yahoo.com,208771,17.07.19678-66690,,,50632,активан,
2,16121962708106,Марина,Савић,мушки,57,Зајечар,16.3.1987.,Душанова 177,064/5396098,марина_савић84@outlook.com,99065,16.12.19627-08106,,,16017,активан,
3,16121953879341,Јелена,Стаменковић,женски,64,Пирот,4.2.1980.,Реск reimска 53,065/9674876,јелена.стаменковић35@gmail.com,37609,16.12.19538-79341,493844196,,85379,активан,
4,21032002880070,Ђорђе,Васић,мушки,39,Крагујевац,14.4.1987.,Краља Александра 158,064/9702377,ђорђе.васић@yahoo.com,219757,21.03.20028-80070,645950720,,71667,активан,Редован корисник услуга
5,23041964859688,Милена,Симић,мушки,37,Нови Пазар,4.4.2005.,Кружни пут 100,060/9991120,милена.симић@eunet.rs,122997,23.04.19648-59688,,,56842,активан,
6,03041977878487,Тијана,Милошевић,женски,32,Пожега,13.12.1976.,Кнеза Михаила 148,062/5700491,тијана-милошевић46@gmail.com,140788,03.04.19778-78487,,Министарство финансија,25761,активан,
7,01051988871107,Јасмина,Лазић,женски,40,Чачак,27.8.1975.,Кружни пут 2,065/2531980,јасмина_лазић34@ptt.rs,64089,01.05.19888-71107,528305717,,19443,активан,
8,25021974852274,Александар,Васиљевић,женски,32,Шабац,10.6.1973.,Булевар револуције 181,065/5912301,александар-васиљевић21@eunet.rs,86038,25.02.19748-52274,,,51643,активан,Редован корисник услуга
9,28051971833170,Петар,Бошковић,женски,53,Крушевац,2.8.1989.,Вука Караџића 2,061/3443400,петар-бошковић@ptt.rs,65662,28.05.19718-33170,,,38027,активан,
10,03071989881021,Ана,Митић,мушки,40,Вршац,16.6.1987.,Гаврила Принципа 139,060/0563069,ана_митић81@ptt.rs,87445,03.07.19898-81021,,,83965,активан,
11,11011966841258,Александар,Тодоровић,женски,57,Лесковац,25.1.1977.,Николе Тесле 21,061/0072498,александар.тодоровић@outlook.com,136181,11.01.19668-41258,,,13567,активан,
12,14061963752897,Марко,Бошковић,женски,30,Лучани,17.4.1981.,Михајла Пупина 140,065/5635959,марко-бошковић9@outlook.com,219651,14.06.19637-52897,271883503,,45736,активан,
13,27021952787551,Даница,Стаменковић,мушки,38,Аранђеловац,1.8.1984.,Реск reimска 94,065/1089090,даница_стаменковић@gmail.com,128259,27.02.19527-87551,,,98945,активан,
14,23011984867706,Срђан,Ракић,мушки,41,Зрењанин,4.6.1994.,Јована Цвијића 117,060/2109660,срђан_ракић@yahoo.com,215630,23.01.19848-67706,941209898,,65735,активан,
15,27082001724090,Тијана,Станковић,женски,28,Суботица,18.1.1974.,Кружни пут 159,066/1376373,тијана_станковић25@eunet.rs,186365,27.08.20017-24090,983061433,,26174,активан,
16,18071961870345,Марина,Митић,женски,40,Аранђеловац,20.7.1999.,Реск reimска 33,066/2358211,марина.митић49@gmail.com,155526,18.07.19618-70345,,,57174,активан,Редован корисник услуга
17,07031956804876,Мирољуб,Драгић,мушки,24,Зајечар,8.2.2005.,Вука Караџића 119,065/6629731,мирољуб_драгић@yahoo.com,36988,07.03.19568-04876,598632224,,70982,активан,
18,21031951844121,Александар,Стевановић,мушки,56,Вршац,14.5.1985.,Светог Саве 153,069/5711215,александар.стевановић59@gmail.com,55478,21.03.19518-44121,,,83607,активан,
19,02051953795950,Никола,Илић,мушки,50,Сомбор,13.11.2005.,Цара Лазара 4,064/9731312,никола_илић7@eunet.rs,81674,02.05.19537-95950,,,45533,активан,
20,24042003743989,Александар,Тодоровић,женски,63,Зајечар,12.8.1970.,Вука Караџића 149,065/2860190,александар_тодоровић@ptt.rs,220871,24.04.20037-43989,,,21872,активан,Редован корисник услуга
21,08022002807785,Миланка,Драгић,женски,50,Косјерић,5.2.1973.,Милана Топлице 138,065/0911614,миланка.драгић@yahoo.com,229198,08.02.20028-07785,,,16729,активан,Редован корисник услуга
22,18052001788471,Иван,Антонијевић,женски,33,Врање,16.2.1977.,Принца Евгенија 3,064/1274994,иван-антонијевић66@ptt.rs,61903,18.05.20017-88471,,Министарство просвете,12962,активан,
23,20012002742202,Тамара,Петровић,мушки,41,Крагујевац,22.5.1988.,Булевар револуције 73,062/9917199,тамара-петровић85@eunet.rs,136343,20.01.20027-42202,300047542,,55620,неактиван,Редован корисник услуга
