id,jmbg,ime,prezime,pol,godine,opstina,datum_rodjenja,adresa,telefon,email,prihod,jmbg_format,pib,institucija,postanski_broj,status,napomena
1,17071967866690,Zoran,Marković,muški,56,Gornji Milanovac,26.4.2006.,Milana Toplice 108,069/1636950,zoran_marković44@yahoo.com,208771,17.07.19678-66690,,,50632,aktivan,
2,16121962708106,Marina,Savić,muški,57,Zaječar,16.3.1987.,Dušanova 177,064/5396098,marina_savić84@outlook.com,99065,16.12.19627-08106,,,16017,aktivan,
3,16121953879341,Jelena,Stamenković,ženski,64,Pirot,4.2.1980.,Resk reimska 53,065/9674876,jelena.stamenković35@gmail.com,37609,16.12.19538-79341,493844196,,85379,aktivan,
4,21032002880070,Đorđe,Vasić,muški,39,Kragujevac,14.4.1987.,Kralja Aleksandra 158,064/9702377,đorđe.vasić@yahoo.com,219757,21.03.20028-80070,645950720,,71667,aktivan,Redovan korisnik usluga
5,23041964859688,Milena,Simić,muški,37,Novi Pazar,4.4.2005.,Kružni put 100,060/9991120,milena.simić@eunet.rs,122997,23.04.19648-59688,,,56842,aktivan,
6,03041977878487,Tijana,Milošević,ženski,32,Požega,13.12.1976.,Kneza Mihaila 148,062/5700491,tijana-milošević46@gmail.com,140788,03.04.19778-78487,,Ministarstvo finansija,25761,aktivan,
7,01051988871107,Jasmina,Lazić,ženski,40,Čačak,27.8.1975.,Kružni put 2,065/2531980,jasmina_lazić34@ptt.rs,64089,01.05.19888-71107,528305717,,19443,aktivan,
8,25021974852274,Aleksandar,Vasiljević,ženski,32,Šabac,10.6.1973.,Bulevar revolucije 181,065/5912301,aleksandar-vasiljević21@eunet.rs,86038,25.02.19748-52274,,,51643,aktivan,Redovan korisnik usluga
9,28051971833170,Petar,Bošković,ženski,53,Kruševac,2.8.1989.,Vuka Karadžića 2,061/3443400,petar-bošković@ptt.rs,65662,28.05.19718-33170,,,38027,aktivan,
10,03071989881021,Ana,Mitić,muški,40,Vršac,16.6.1987.,Gavrila Principa 139,060/0563069,ana_mitić81@ptt.rs,87445,03.07.19898-81021,,,83965,aktivan,
11,11011966841258,Aleksandar,Todorović,ženski,57,Leskovac,25.1.1977.,Nikole Tesle 21,061/0072498,aleksandar.todorović@outlook.com,136181,11.01.19668-41258,,,13567,aktivan,
12,14061963752897,Marko,Bošković,ženski,30,Lučani,17.4.1981.,Mihajla Pupina 140,065/5635959,marko-bošković9@outlook.com,219651,14.06.19637-52897,271883503,,45736,aktivan,
13,27021952787551,Danica,Stamenković,muški,38,Aranđelovac,1.8.1984.,Resk reimska 94,065/1089090,danica_stamenković@gmail.com,128259,27.02.19527-87551,,,98945,aktivan,
14,23011984867706,Srđan,Rakić,muški,41,Zrenjanin,4.6.1994.,Jovana Cvijića 117,060/2109660,srđan_rakić@yahoo.com,215630,23.01.19848-67706,941209898,,65735,aktivan,
15,27082001724090,Tijana,Stanković,ženski,28,Subotica,18.1.1974.,Kružni put 159,066/1376373,tijana_stanković25@eunet.rs,186365,27.08.20017-24090,983061433,,26174,aktivan,
16,18071961870345,Marina,Mitić,ženski,40,Aranđelovac,20.7.1999.,Resk reimska 33,066/2358211,marina.mitić49@gmail.com,155526,18.07.19618-70345,,,57174,aktivan,Redovan korisnik usluga
17,07031956804876,Miroljub,Dragić,muški,24,Zaječar,8.2.2005.,Vuka Karadžića 119,065/6629731,miroljub_dragić@yahoo.com,36988,07.03.19568-04876,598632224,,70982,aktivan,
18,21031951844121,Aleksandar,Stevanović,muški,56,Vršac,14.5.1985.,Svetog Save 153,069/5711215,aleksandar.stevanović59@gmail.com,55478,21.03.19518-44121,,,83607,aktivan,
19,02051953795950,Nikola,Ilić,muški,50,Sombor,13.11.2005.,Cara Lazara 4,064/9731312,nikola_ilić7@eunet.rs,81674,02.05.19537-95950,,,45533,aktivan,
20,24042003743989,Aleksandar,Todorović,ženski,63,Zaječar,12.8.1970.,Vuka Karadžića 149,065/2860190,aleksandar_todorović@ptt.rs,220871,24.04.20037-43989,,,21872,aktivan,Redovan korisnik usluga
21,08022002807785,Milanka,Dragić,ženski,50,Kosjerić,5.2.1973.,Milana Toplice 138,065/0911614,milanka.dragić@yahoo.com,229198,08.02.20028-07785,,,16729,aktivan,Redovan korisnik usluga
22,18052001788471,Ivan,Antonijević,ženski,33,Vranje,16.2.1977.,Princa Evgenija 3,064/1274994,ivan-antonijević66@ptt.rs,61903,18.05.20017-88471,,Ministarstvo prosvete,12962,aktivan,
23,20012002742202,Tamara,Petrović,muški,41,Kragujevac,22.5.1988.,Bulevar revolucije 73,062/9917199,tamara-petrović85@eunet.rs,136343,20.01.20027-42202,300047542,,55620,neaktivan,Redovan korisnik usluga
24,12011974713521,Marko,Petrović,muški,41,Smederevo,12.2.2008.,Gavrila Principa 128,063/6288548,marko.petrović22@yahoo.com,47272,12.01.19747-13521,,,48247,aktivan,
25,19021978874775,Ana,Pavlović,ženski,55,Pirot,11.6.1991.,Vojvode Mišića 195,069/5751620,ana.pavlović@outlook.com,198949,19.02.19788-74775,,,55144,neaktivan,
26,15011966802218,Branislav,Simić,ženski,40,Prokuplje,27.1.1972.,Cara Lazara 179,066/1236607,branislav-simić19@yahoo.com,72513,15.01.19668-02218,,,93880,aktivan,Redovan korisnik usluga
27,03112004797624,Srđan,Gavrilović,muški,59,Novi Pazar,15.7.1973.,Resk reimska 76,061/7179580,srđan-gavrilović@eunet.rs,112483,03.11.20047-97624,,,56665,aktivan,
28,01042003800681,Tijana,Dragić,ženski,61,Šabac,10.10.1990.,Cara Dušana 106,065/0955362,tijana-dragić59@gmail.com,126918,01.04.20038-00681,963872756,Narodna skupština Republike Srbije,45167,aktivan,
29,06081971852963,Branislav,Petrović,muški,60,Šabac,21.5.2000.,Milana Toplice 74,060/5572260,branislav-petrović69@eunet.rs,228652,06.08.19718-52963,,,48284,aktivan,
30,02051960803903,Marko,Petrović,muški,58,Kosjerić,16.12.1987.,Svetog Save 33,064/4306880,marko.petrović@gmail.com,133099,02.05.19608-03903,3866383010,,95442,aktivan,
31,11011958826257,Aleksandar,Bošković,muški,38,Čačak,22.10.1983.,Princa Evgenija 196,066/1130631,aleksandar.bošković@yahoo.com,195074,11.01.19588-26257,380780778,,60984,neaktivan,
32,04101976874644,Ana,Dragić,muški,29,Novi Sad,25.4.1999.,Mihajla Pupina 64,065/8505259,ana_dragić@eunet.rs,83496,04.10.19768-74644,,Ministarstvo zdravlja,55801,aktivan,
33,26031974873796,Đorđe,Branković,muški,69,Aranđelovac,27.5.2009.,Vuka Karadžića 70,066/4340680,đorđe_branković@ptt.rs,30265,26.03.19748-73796,,,20699,aktivan,Redovan korisnik usluga
34,20062005836591,Maja,Matić,muški,57,Novi Sad,5.5.2008.,Princa Evgenija 183,061/6781090,maja.matić@ptt.rs,31423,20.06.20058-36591,191809995,,76490,aktivan,
35,28121986735612,Đorđe,Lazić,muški,23,Bor,4.9.1994.,Bulevar oslobođenja 182,062/1785675,đorđe.lazić31@gmail.com,148638,28.12.19867-35612,,Poreska uprava,58667,aktivan,
36,22021983864505,Tijana,Milovanović,muški,65,Bor,25.10.1992.,Nikole Tesle 47,065/3413212,tijana-milovanović@outlook.com,49667,22.02.19838-64505,,,30039,aktivan,
37,16051999899998,Nebojša,Lazić,ženski,53,Leskovac,26.11.2001.,Mihajla Pupina 105,069/5403320,nebojša-lazić32@outlook.com,189306,16.05.19998-99998,,,30274,aktivan,
38,02111954767212,Ivana,Vasić,ženski,39,Bor,6.7.1989.,Princa Evgenija 84,063/3423446,ivana.vasić@yahoo.com,50422,02.11.19547-67212,592071572,Republički zavod za statistiku,14671,aktivan,Redovan korisnik usluga
39,16051995867317,Aleksandar,Marković,muški,28,Kruševac,23.3.1973.,Bulevar oslobođenja 185,069/8673473,aleksandar_marković@eunet.rs,196855,16.05.19958-67317,405775676,,24378,aktivan,
40,27031983801013,Mladen,Stanković,ženski,34,Niš,15.8.1994.,Karađorđeva 199,069/9040749,mladen.stanković17@ptt.rs,72451,27.03.19838-01013,387786817,,87735,aktivan,Redovan korisnik usluga
41,16031959728030,Marko,Branković,muški,56,Arilje,7.8.2008.,Cara Dušana 50,065/2896728,marko_branković@outlook.com,107615,16.03.19597-28030,,,36091,aktivan,
42,19071968870784,Snežana,Dragić,muški,22,Kraljevo,11.12.1975.,Milana Toplice 74,069/5812743,snežana_dragić58@yahoo.com,205953,19.07.19688-70784,022900964,,80638,aktivan,
43,07121952721027,Snežana,Petrović,muški,69,Kosjerić,22.10.2003.,Njegoševa 65,065/5737148,snežana_petrović@eunet.rs,50426,07.12.19527-21027,607355273,,59010,aktivan,Redovan korisnik usluga
44,19062002863690,Snežana,Lazić,ženski,51,Pirot,20.7.1992.,Stevana Sremca 73,065/6880570,snežana_lazić@eunet.rs,172445,19.06.20028-63690,,,14438,aktivan,
45,05071952743779,Milena,Vuković,ženski,55,Ivanjica,20.10.1976.,Milana Toplice 73,065/2331417,milena.vuković82@outlook.com,176153,05.07.19527-43779,,,33372,neaktivan,
46,07011995810478,Miloš,Stojanović,ženski,56,Valjevo,8.8.1979.,Branka Radičevića 200,069/5036853,miloš_stojanović5@eunet.rs,130640,07.01.19958-10478,871379072,,43608,aktivan,
47,27111981716399,Đorđe,Petrović,ženski,21,Kraljevo,23.12.1993.,Svetog Save 50,069/6322821,đorđe.petrović@eunet.rs,164979,27.11.19817-16399,670707923,,93228,aktivan,Redovan korisnik usluga
