id,jmbg,ime,prezime,pol,godine,opstina,datum_rodjenja,adresa,telefon,email,prihod,jmbg_format,pib,institucija,postanski_broj,status,napomena
1,17071967866690,Зоран,Марковић,мушки,56,Горњи Милановац,26.4.2006.,Милана Топлице 108,069/1636950,zoran_marković44@yahoo.com,208771,17.07.19678-66690,,,50632,активан,
2,16121962708106,Марина,Савић,мушки,57,Зајечар,16.3.1987.,Душанова 177,064/5396098,марина_савић84@outlook.com,99065,16.12.19627-08106,,,16017,активан,
3,16121953879341,Јелена,Стаменковић,женски,64,Пирот,4.2.1980.,Реск reimска 53,065/9674876,јелена.стаменковић35@gmail.com,37609,16.12.19538-79341,493844196,,85379,активан,
4,21032002880070,Ђорђе,Васић,мушки,39,Крагујевац,14.4.1987.,Краља Александра 158,064/9702377,đorđe.vasić@yahoo.com,219757,21.03.20028-80070,645950720,,71667,активан,Редован корисник услуга
5,23041964859688,Милена,Симић,мушки,37,Нови Пазар,4.4.2005.,Кружни пут 100,060/9991120,милена.симић@eunet.rs,122997,23.04.19648-59688,,,56842,активан,
6,03041977878487,Тијана,Милошевић,женски,32,Пожега,13.12.1976.,Кнеза Михаила 148,062/5700491,тијана-милошевић46@gmail.com,140788,03.04.19778-78487,,Министарство финансија,25761,активан,
7,01051988871107,Јасмина,Лазић,женски,40,Чачак,27.8.1975.,Кружни пут 2,065/2531980,jasmina_lazić34@ptt.rs,64089,01.05.19888-71107,528305717,,19443,активан,
8,25021974852274,Александар,Васиљевић,женски,32,Шабац,10.6.1973.,Булевар револуције 181,065/5912301,александар-васиљевић21@eunet.rs,86038,25.02.19748-52274,,,51643,активан,Редован корисник услуга
9,28051971833170,Петар,Бошковић,женски,53,Крушевац,2.8.1989.,Вука Караџића 2,061/3443400,петар-бошковић@ptt.rs,65662,28.05.19718-33170,,,38027,активан,
10,03071989881021,Ана,Митић,мушки,40,Вршац,16.6.1987.,Гаврила Принципа 139,060/0563069,ana_mitić81@ptt.rs,87445,03.07.19898-81021,,,83965,активан,
11,11011966841258,Александар,Тодоровић,женски,57,Лесковац,25.1.1977.,Николе Тесле 21,061/0072498,александар.тодоровић@outlook.com,136181,11.01.19668-41258,,,13567,активан,
12,14061963752897,Марко,Бошковић,женски,30,Лучани,17.4.1981.,Михајла Пупина 140,065/5635959,марко-бошковић9@outlook.com,219651,14.06.19637-52897,271883503,,45736,активан,
13,27021952787551,Даница,Стаменковић,мушки,38,Аранђеловац,1.8.1984.,Реск reimска 94,065/1089090,danica_stamenković@gmail.com,128259,27.02.19527-87551,,,98945,активан,
14,23011984867706,Срђан,Ракић,мушки,41,Зрењанин,4.6.1994.,Јована Цвијића 117,060/2109660,срђан_ракић@yahoo.com,215630,23.01.19848-67706,941209898,,65735,активан,
15,27082001724090,Тијана,Станковић,женски,28,Суботица,18.1.1974.,Кружни пут 159,066/1376373,тијана_станковић25@eunet.rs,186365,27.08.20017-24090,983061433,,26174,активан,
16,18071961870345,Марина,Митић,женски,40,Аранђеловац,20.7.1999.,Реск reimска 33,066/2358211,marina.mitić49@gmail.com,155526,18.07.19618-70345,,,57174,активан,Редован корисник услуга
17,07031956804876,Мирољуб,Драгић,мушки,24,Зајечар,8.2.2005.,Вука Караџића 119,065/6629731,мирољуб_драгић@yahoo.com,36988,07.03.19568-04876,598632224,,70982,активан,
18,21031951844121,Александар,Стевановић,мушки,56,Вршац,14.5.1985.,Светог Саве 153,069/5711215,александар.стевановић59@gmail.com,55478,21.03.19518-44121,,,83607,активан,
19,02051953795950,Никола,Илић,мушки,50,Сомбор,13.11.2005.,Цара Лазара 4,064/9731312,nikola_ilić7@eunet.rs,81674,02.05.19537-95950,,,45533,активан,
20,24042003743989,Александар,Тодоровић,женски,63,Зајечар,12.8.1970.,Вука Караџића 149,065/2860190,александар_тодоровић@ptt.rs,220871,24.04.20037-43989,,,21872,активан,Редован корисник услуга
21,08022002807785,Миланка,Драгић,женски,50,Косјерић,5.2.1973.,Милана Топлице 138,065/0911614,миланка.драгић@yahoo.com,229198,08.02.20028-07785,,,16729,активан,Редован корисник услуга
22,18052001788471,Иван,Антонијевић,женски,33,Врање,16.2.1977.,Принца Евгенија 3,064/1274994,ivan-antonijević66@ptt.rs,61903,18.05.20017-88471,,Министарство просвете,12962,активан,
23,20012002742202,Тамара,Петровић,мушки,41,Крагујевац,22.5.1988.,Булевар револуције 73,062/9917199,тамара-петровић85@eunet.rs,136343,20.01.20027-42202,300047542,,55620,неактиван,Редован корисник услуга
24,12011974713521,Марко,Петровић,мушки,41,Смедерево,12.2.2008.,Гаврила Принципа 128,063/6288548,марко.петровић22@yahoo.com,47272,12.01.19747-13521,,,48247,активан,
25,19021978874775,Ана,Павловић,женски,55,Пирот,11.6.1991.,Војводе Мишића 195,069/5751620,ana.pavlović@outlook.com,198949,19.02.19788-74775,,,55144,неактиван,
26,15011966802218,Бранислав,Симић,женски,40,Прокупље,27.1.1972.,Цара Лазара 179,066/1236607,бранислав-симић19@yahoo.com,72513,15.01.19668-02218,,,93880,активан,Редован корисник услуга
27,03112004797624,Срђан,Гавриловић,мушки,59,Нови Пазар,15.7.1973.,Реск reimска 76,061/7179580,срђан-гавриловић@eunet.rs,112483,03.11.20047-97624,,,56665,активан,
28,01042003800681,Тијана,Драгић,женски,61,Шабац,10.10.1990.,Цара Душана 106,065/0955362,tijana-dragić59@gmail.com,126918,01.04.20038-00681,963872756,Народна скупштина Републике Србије,45167,активан,
29,06081971852963,Бранислав,Петровић,мушки,60,Шабац,21.5.2000.,Милана Топлице 74,060/5572260,бранислав-петровић69@eunet.rs,228652,06.08.19718-52963,,,48284,активан,
30,02051960803903,Марко,Петровић,мушки,58,Косјерић,16.12.1987.,Светог Саве 33,064/4306880,марко.петровић@gmail.com,133099,02.05.19608-03903,3866383010,,95442,активан,
31,11011958826257,Александар,Бошковић,мушки,38,Чачак,22.10.1983.,Принца Евгенија 196,066/1130631,aleksandar.bošković@yahoo.com,195074,11.01.19588-26257,380780778,,60984,неактиван,
32,04101976874644,Ана,Драгић,мушки,29,Нови Сад,25.4.1999.,Михајла Пупина 64,065/8505259,ана_драгић@eunet.rs,83496,04.10.19768-74644,,Министарство здравља,55801,активан,
33,26031974873796,Ђорђе,Бранковић,мушки,69,Аранђеловац,27.5.2009.,Вука Караџића 70,066/4340680,ђорђе_бранковић@ptt.rs,30265,26.03.19748-73796,,,20699,активан,Редован корисник услуга
34,20062005836591,Маја,Матић,мушки,57,Нови Сад,5.5.2008.,Принца Евгенија 183,061/6781090,maja.matić@ptt.rs,31423,20.06.20058-36591,191809995,,76490,активан,
35,28121986735612,Ђорђе,Лазић,мушки,23,Бор,4.9.1994.,Булевар ослобођења 182,062/1785675,ђорђе.лазић31@gmail.com,148638,28.12.19867-35612,,Пореска управа,58667,активан,
36,22021983864505,Тијана,Миловановић,мушки,65,Бор,25.10.1992.,Николе Тесле 47,065/3413212,тијана-миловановић@outlook.com,49667,22.02.19838-64505,,,30039,активан,
37,16051999899998,Небојша,Лазић,женски,53,Лесковац,26.11.2001.,Михајла Пупина 105,069/5403320,nebojša-lazić32@outlook.com,189306,16.05.19998-99998,,,30274,активан,
38,02111954767212,Ивана,Васић,женски,39,Бор,6.7.1989.,Принца Евгенија 84,063/3423446,ивана.васић@yahoo.com,50422,02.11.19547-67212,592071572,Републички завод за статистику,14671,активан,Редован корисник услуга
39,16051995867317,Александар,Марковић,мушки,28,Крушевац,23.3.1973.,Булевар ослобођења 185,069/8673473,александар_марковић@eunet.rs,196855,16.05.19958-67317,405775676,,24378,активан,
40,27031983801013,Младен,Станковић,женски,34,Ниш,15.8.1994.,Карађорђева 199,069/9040749,mladen.stanković17@ptt.rs,72451,27.03.19838-01013,387786817,,87735,активан,Редован корисник услуга
41,16031959728030,Марко,Бранковић,мушки,56,Ариље,7.8.2008.,Цара Душана 50,065/2896728,марко_бранковић@outlook.com,107615,16.03.19597-28030,,,36091,активан,
42,19071968870784,Снежана,Драгић,мушки,22,Краљево,11.12.1975.,Милана Топлице 74,069/5812743,снежана_драгић58@yahoo.com,205953,19.07.19688-70784,022900964,,80638,активан,
43,07121952721027,Снежана,Петровић,мушки,69,Косјерић,22.10.2003.,Његошева 65,065/5737148,snežana_petrović@eunet.rs,50426,07.12.19527-21027,607355273,,59010,активан,Редован корисник услуга
44,19062002863690,Снежана,Лазић,женски,51,Пирот,20.7.1992.,Стевана Сремца 73,065/6880570,снежана_лазић@eunet.rs,172445,19.06.20028-63690,,,14438,активан,
45,05071952743779,Милена,Вуковић,женски,55,Ивањица,20.10.1976.,Милана Топлице 73,065/2331417,милена.вуковић82@outlook.com,176153,05.07.19527-43779,,,33372,неактиван,
46,07011995810478,Милош,Стојановић,женски,56,Ваљево,8.8.1979.,Бранка Радичевића 200,069/5036853,miloš_stojanović5@eunet.rs,130640,07.01.19958-10478,871379072,,43608,активан,
47,27111981716399,Ђорђе,Петровић,женски,21,Краљево,23.12.1993.,Светог Саве 50,069/6322821,ђорђе.петровић@eunet.rs,164979,27.11.19817-16399,670707923,,93228,активан,Редован корисник услуга
48,04041977835484,Жељко,Савић,женски,49,Зрењанин,1.6.1986.,Неманињина 144,061/4110434,жељко.савић@eunet.rs,226829,04.04.19778-35484,,,85599,активан,
49,17021960763501,Јасмина,Филиповић,мушки,24,Бајина Башта,7.5.1978.,Булевар револуције 191,062/9446912,jasmina_filipović@outlook.com,51861,17.02.19607-63501,,,34482,активан,
50,18011959808353,Иван,Бошковић,мушки,58,Зрењанин,18.1.1980.,Михајла Пупина 137,066/3947496,иван-бошковић46@ptt.rs,110526,18.01.19598-08353,274762655,,20378,неактиван,
51,21011982811478,Александар,Вуковић,женски,34,Нови Пазар,20.5.1971.,Краља Александра 166,069/7924374,александар.вуковић@outlook.com,123736,21.01.19828-11478,447204385,,83823,неактиван,
52,13021992815188,Биљана,Томић,мушки,46,Косјерић,1.2.1983.,Кнеза Михаила 107,066/9049707,biljana.tomić@yahoo.com,35983,13.02.19928-15188,,,30385,активан,
53,09051954769191,Борислав,Митић,женски,52,Бор,25.11.2002.,Михајла Пупина 195,069/7958693,борислав.митић@yahoo.com,76354,09.05.19547-69191,741034811,,45776,активан,
54,05101965773265,Александар,Милошевић,мушки,20,Пожаревац,9.12.1996.,Булевар револуције 112,065/6580829,александар-милошевић@outlook.com,216778,05.10.19657-73265,,,19370,активан,
